
,,,,,Games,Games,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,Punting
Rk,,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
55,Thomas Morstead,NOR,29,p,14,0,,,,,,,,,,,,,,,,,56,2551,58,0,45.6
56,Jake Schum,TAM,26,p,16,0,,,,,,,,,,,,,,,,,56,2348,60,0,41.9
57,Connor Barth,TAM,29,k,12,0,,,9,9,8,8,6,3,5,3,28,23,82.1%,26,25,96.2%,,,,,
58,Nick Novak,HOU,34,k,13,0,,,6,6,6,6,4,4,5,2,21,18,85.7%,31,29,93.5%,1,36,36,0,36.0
59,Andrew Franks,MIA,22,k,16,0,1,1,3,3,4,4,6,4,2,1,16,13,81.3%,36,33,91.7%,,,,,
,,,,,Games,Games,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,Punting
Rk,,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
60,Kai Forbath,2TM,28,,11,0,,,3,2,4,3,5,3,3,2,15,10,66.7%,35,34,97.1%,,,,,
61,Phil Dawson,SFO,40,k,16,0,,,10,9,6,6,8,6,3,3,27,24,88.9%,21,20,95.2%,1,48,48,0,48.0
62,Randy Bullock,2TM,26,,11,0,1,1,4,4,6,6,11,8,1,,23,19,82.6%,25,22,88.0%,,,,,
63,Ryan Succop,TEN,29,k,16,0,,,3,3,3,3,7,7,3,1,16,14,87.5%,31,29,93.5%,,,,,
64,Matt Bryant,ATL,40,k,11,0,1,1,4,4,4,3,9,6,,,18,14,77.8%,26,26,100.0%,,,,,
65,Nick Folk,NYJ,31,k,8,0,,,2,2,6,6,6,3,2,2,16,13,81.3%,19,19,100.0%,,,,,
66,Zach Hocker,2TM,24,,8,0,,,3,3,6,5,3,1,2,1,14,10,71.4%,13,12,92.3%,1,43,43,0,43.0
67,Shayne Graham,ATL,38,k,5,0,,,2,2,4,4,4,2,3,3,13,11,84.6%,8,8,100.0%,,,,,
68,Kyle Brindza,TAM,22,k,4,0,,,2,1,3,2,3,1,4,2,12,6,50.0%,8,6,75.0%,,,,,
69,Josh Scobee,PIT,33,k,4,0,,,2,2,1,1,7,3,,,10,6,60.0%,7,6,85.7%,,,,,
70,Cody Parkey,PHI,23,k,3,0,,,1,1,1,1,2,1,,,4,3,75.0%,7,7,100.0%,,,,,
71,Brandon Fields,NOR,31,p,2,0,,,,,,,,,,,,,,,,,10,412,57,0,41.2
72,Steve Weatherford,NYJ,33,p,1,0,,,,,,,,,,,,,,,,,4,161,50,0,40.3
73,Spencer Lanning,CHI,27,p,1,0,,,,,,,,,,,,,,,,,3,136,51,0,45.3
