
Rk,,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
66,Richard Rodgers,GNB,23,TE,16,12,,8,,,,,,8,1,,,,,,,50,
67,Chris Ivory*,NYJ,27,RB,15,14,7,1,,,,,,8,,,,,,,,48,
68,Tyler Lockett*+,SEA,23,wr,16,8,,6,1,1,,,,8,,,,,,,,48,
69,Jeremy Maclin,KAN,27,WR,15,15,,8,,,,,,8,,,,,,,,48,
70,Jordan Matthews,PHI,23,WR,16,13,,8,,,,,,8,,,,,,,,48,
71,Rueben Randle,NYG,24,WR,16,16,,8,,,,,,8,,,,,,,,48,
72,Matt Forte,CHI,30,RB,13,13,4,3,,,,,,7,1,,,,,,,44,
73,Jeremy Langford,CHI,24,rb,16,2,6,1,,,,,,7,1,,,,,,,44,
74,LeGarrette Blount,NWE,29,rb,12,6,6,1,,,,,,7,,,,,,,,42,
75,John Brown,ARI,25,WR,15,11,,7,,,,,,7,,,,,,,,42,
76,Martavis Bryant,PIT,24,wr,11,5,1,6,,,,,,7,,,,,,,,42,
77,Randall Cobb,GNB,25,WR,16,15,,6,,,1,,,7,,,,,,,,42,
78,Julian Edelman,NWE,29,wr,9,9,,7,,,,,,7,,,,,,,,42,
79,Frank Gore,IND,32,RB,16,16,6,1,,,,,,7,,,,,,,,42,
80,Ronnie Hillman,DEN,24,RB,16,11,7,,,,,,,7,,,,,,,,42,
81,Zach Hocker,2TM,24,,8,0,,,,,,,,,,,12,13,10,14,,42,
82,Doug Martin*+,TAM,26,RB,16,16,6,1,,,,,,7,,,,,,,,42,
83,Ryan Mathews,PHI,28,rb,13,6,6,1,,,,,,7,,,,,,,,42,
84,DeMarco Murray,PHI,27,rb,15,8,6,1,,,,,,7,,,,,,,,42,
85,Greg Olsen*,CAR,30,TE,16,16,,7,,,,,,7,,,,,,,,42,
86,Jonathan Stewart*,CAR,28,RB,13,13,6,1,,,,,,7,,,,,,,,42,
87,Shayne Graham,ATL,38,k,5,0,,,,,,,,,,,8,8,11,13,,41,
88,Mark Ingram,NOR,26,RB,12,10,6,,,,,,,6,1,,,,,,,38,
89,Jarvis Landry*,MIA,23,WR,16,14,1,4,1,,,,,6,1,,,,,,,38,
Rk,,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
90,Delanie Walker*,TEN,31,TE,15,10,,6,,,,,,6,1,,,,,,,38,
91,Travis Benjamin,CLE,26,WR,16,15,,5,1,,,,,6,,,,,,,,36,
92,Amari Cooper*,OAK,21,WR,16,15,,6,,,,,,6,,,,,,,,36,
93,Michael Floyd,ARI,26,wr,15,6,,6,,,,,,6,,,,,,,,36,
94,Pierre Garcon,WAS,29,WR,16,16,,6,,,,,,6,,,,,,,,36,
95,Dwayne Harris,NYG,28,wr,15,6,,4,1,1,,,,6,,,,,,,,36,
96,Donte Moncrief,IND,22,WR,16,10,,6,,,,,,6,,,,,,,,36,
