
,,,,,Games,Games,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
24,Eric Weems,ATL,30,,16,0,19,221,0,41,11.6,15,403,0,50,26.9,639
25,Cordarrelle Patterson,MIN,24,wr,16,1,,,,,,32,1019,2,101,31.8,1044
26,Danny Amendola,NWE,30,wr,14,7,23,276,0,82,12.0,8,172,0,29,21.5,1107
27,Jamison Crowder,WAS,22,wr,16,6,30,158,0,16,5.3,1,19,0,13,19.0,783
28,Taiwan Jones,OAK,27,,12,0,,,,,,31,829,0,70,26.7,1011
29,Jacoby Jones,2TM,31,,9,0,11,15,0,14,1.4,18,413,0,36,22.9,428
,,,,,Games,Games,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
30,Travis Benjamin,CLE,26,WR,16,15,28,324,1,78,11.6,,,,,,1302
31,Ted Ginn,CAR,30,WR,15,13,27,277,0,37,10.3,1,8,0,8,8.0,1084
32,Rashad Ross,WAS,25,,13,0,,,,,,28,684,1,101,24.4,868
33,Adam Jones*,CIN,32,CB,14,14,16,179,0,35,11.2,10,235,0,49,23.5,414
34,Benny Cunningham,STL,25,rb,16,1,,,,,,25,714,0,102,28.6,1104
35,Knile Davis,KAN,24,,14,0,,,,,,24,603,0,54,25.1,699
36,Antonio Brown*+,PIT,27,WR,16,16,22,212,1,71,9.6,,,,,,2074
37,David Johnson,ARI,24,rb,16,5,,,,,,22,599,1,108,27.2,1637
38,Josh Huff,PHI,24,wr,15,4,,,,,,21,498,0,49,23.7,810
39,Golden Tate,DET,27,WR,16,16,20,149,0,23,7.5,1,26,0,26,26.0,1029
40,Griff Whalen,IND,25,,14,0,12,85,0,22,7.1,9,244,0,50,27.1,534
41,Damien Williams,MIA,23,,16,0,,,,,,21,457,0,37,21.8,658
